chain	bsc
rpc	https://bsc-rpc.publicnode.com
block	117830760
factory	0xDd3FEa01cD550C9EFfC893f346690b9A649f35EF
entry	0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4
implementation	0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4
factory_code_bytes	2514
entry_code_bytes	23971
implementation_code_bytes	23971
factory_code_keccak	0xe32e570a2abd6fc3202a5173b1a470ad75dc6f1fa18baff3ff89622f4740e148
entry_code_keccak	0xde2f1e39aa3e9a61b4d69bae16eb4f91533dad98589767e359fd1ec74f28f45f
implementation_code_keccak	0xde2f1e39aa3e9a61b4d69bae16eb4f91533dad98589767e359fd1ec74f28f45f
