chain	ethereum
rpc	https://ethereum-rpc.publicnode.com
block	25825892
factory	0xDd3FEa01cD550C9EFfC893f346690b9A649f35EF
entry	0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4
implementation	0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4
factory_code_bytes	2514
entry_code_bytes	23971
implementation_code_bytes	23971
factory_code_keccak	0xe32e570a2abd6fc3202a5173b1a470ad75dc6f1fa18baff3ff89622f4740e148
entry_code_keccak	0x5a15ca888b48a75d9e2ff47dc3442063a3a052b4a709a9bfc8c06219fea16f5f
implementation_code_keccak	0x5a15ca888b48a75d9e2ff47dc3442063a3a052b4a709a9bfc8c06219fea16f5f
