chain	optimism
rpc	https://optimism-rpc.publicnode.com
block	155992988
factory	0xDd3FEa01cD550C9EFfC893f346690b9A649f35EF
entry	0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4
implementation	0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4
factory_code_bytes	2514
entry_code_bytes	23971
implementation_code_bytes	23971
factory_code_keccak	0xe32e570a2abd6fc3202a5173b1a470ad75dc6f1fa18baff3ff89622f4740e148
entry_code_keccak	0x2822bd6cf890b070935d0f23542f1ac2f44c81affeda9e6d909a7f8c6ee85fe1
implementation_code_keccak	0x2822bd6cf890b070935d0f23542f1ac2f44c81affeda9e6d909a7f8c6ee85fe1
